ckanurl,url,licence,title,res_title,description,format,created,tags,groups,organization
https://www.data.go.jp/data/dataset/cas_20150305_0001/resource/dc66ff80-03e5-4c08-8ee0-ab5f47fdc570,https://cio.go.jp/sites/default/files/uploads/documents/opendata_guideline.docx,CC-BY,地方公共団体オープンデータ推進ガイドライン,地方公共団体オープンデータ推進ガイドライン,地方公共団体におけるオープンデータの推進に係る基本的考え方等を整理したもの。,DOCX,2018-03-16T14:40:32.510951,オープンデータ;ガイドライン;地方公共団体;地方自治体,情報通信・科学技術,内閣官房
https://www.data.go.jp/data/dataset/cas_20170628_0001/resource/8cbdd8b1-b5a5-4f40-bedd-c8dad14268df,https://cio.go.jp/sites/default/files/uploads/documents/data_shishin.docx,CC-BY,オープンデータ基本指針,オープンデータ基本指針(DOCX形式),「オープンデータ基本指針」の本文（DOCX形式）です。,DOCX,2017-06-30T12:14:30.272126,オープンデータ;基本指針;決定文書,情報通信・科学技術,内閣官房
https://www.data.go.jp/data/dataset/cas_20171202_0001/resource/cf6632ce-e476-4a6f-991f-8d50a6d57f42,https://cio.go.jp/sites/default/files/uploads/documents/data_shishin_en.docx,CC-BY,Basic Principles on Open Data,Basic Principles on Open Data(DOCX),Basic Principles on Open Data(DOCX),DOCX,2017-12-07T10:28:10.724286,オープンデータ;基本指針;決定文書,情報通信・科学技術,内閣官房
https://www.data.go.jp/data/dataset/cas_20180907_0001/resource/d95d04df-2778-40b6-ad08-8032cf94b3ac,https://cio.go.jp/sites/default/files/uploads/documents/180417roadmap.docx,CC-BY,農業情報創成・流通促進戦略に係る標準化ロードマップ,農業情報創成・流通促進戦略に係る標準化ロードマップ,農業情報の標準化に率先して取り組むべき事項について、個別ガイドライン策定に関する現在の検討状況を明示するとともに、今後の中長期の目標を掲げたロードマップ。,DOCX,2018-09-21T11:02:30.366605,agriculture and forestry;information_disclosure;ロードマップ;情報公開;農業_林業,情報通信・科学技術,内閣官房
https://www.data.go.jp/data/dataset/cas_20180907_0002/resource/5a926c11-ccf1-4011-841e-df28f0da3a61,https://cio.go.jp/sites/default/files/uploads/documents/170310gl1.docx,CC-BY,農業情報創成・流通促進戦略に係る個別ガイドライン,＜GL1＞農業ITシステムで用いる農作業の名称に関する個別ガイドライン（第3版）,農業ITシステムで用いる農作業の名称に関する個別ガイドラインの本文。,DOCX,2018-09-21T11:02:33.107262,agriculture and forestry;information_disclosure;ガイドライン;情報公開;農業_林業,情報通信・科学技術,内閣官房
https://www.data.go.jp/data/dataset/cas_20180907_0002/resource/a475bb58-1388-469e-b455-7b1a66731f0b,https://cio.go.jp/sites/default/files/uploads/documents/170310gl2.docx,CC-BY,農業情報創成・流通促進戦略に係る個別ガイドライン,＜GL2＞農業ITシステムで用いる環境情報のデータ項目に関する個別ガイドライン（第3版）,農業ITシステムで用いる環境情報のデータ項目に関する個別ガイドラインの本文。,DOCX,2018-09-21T11:02:33.107299,agriculture and forestry;information_disclosure;ガイドライン;情報公開;農業_林業,情報通信・科学技術,内閣官房
https://www.data.go.jp/data/dataset/cas_20180907_0002/resource/fb8f36bd-64a2-42db-a9c7-5f70dabd6975,https://cio.go.jp/sites/default/files/uploads/documents/170310gl3.docx,CC-BY,農業情報創成・流通促進戦略に係る個別ガイドライン,＜GL3＞農業ITシステムで用いる農作物の名称に関する個別ガイドライン（第2版）,農業ITシステムで用いる農作物の名称に関する個別ガイドラインの本文。,DOCX,2018-09-21T11:02:33.107374,agriculture and forestry;information_disclosure;ガイドライン;情報公開;農業_林業,情報通信・科学技術,内閣官房
https://www.data.go.jp/data/dataset/cas_20180907_0002/resource/edcde23d-373f-4770-9a3c-86e92cd5bd9d,https://cio.go.jp/sites/default/files/uploads/documents/170310gl4.docx,CC-BY,農業情報創成・流通促進戦略に係る個別ガイドライン,＜GL4＞農業情報のデータ交換のインタフェースに関する個別ガイドライン（第2版）,農業情報のデータ交換のインタフェースに関する個別ガイドラインの本文。,DOCX,2018-09-21T11:02:33.107388,agriculture and forestry;information_disclosure;ガイドライン;情報公開;農業_林業,情報通信・科学技術,内閣官房
https://www.data.go.jp/data/dataset/cas_20180907_0002/resource/84590ba6-f879-4596-87e6-cd98d1a4971b,https://cio.go.jp/sites/default/files/uploads/documents/180417gl5.docx,CC-BY,農業情報創成・流通促進戦略に係る個別ガイドライン,＜GL5＞農業ITシステムで用いる生育調査等の項目に関する個別ガイドライン（第1版）,農業ITシステムで用いる生育調査等の項目に関する個別ガイドラインの本文。,DOCX,2018-09-21T11:02:33.107492,agriculture and forestry;information_disclosure;ガイドライン;情報公開;農業_林業,情報通信・科学技術,内閣官房
https://www.data.go.jp/data/dataset/cas_20180907_0002/resource/a2e1d9d7-5c38-4976-a792-68b1064a2270,https://cio.go.jp/sites/default/files/uploads/documents/170310noyaku.docx,CC-BY,農業情報創成・流通促進戦略に係る個別ガイドライン,農業ITシステムで用いる登録農薬に係るデータ項目に関する情報（暫定版）,農業ITシステムで用いる登録農薬に係るデータ項目に関する情報の本文。,DOCX,2018-09-21T11:02:33.107541,agriculture and forestry;information_disclosure;ガイドライン;情報公開;農業_林業,情報通信・科学技術,内閣官房
https://www.data.go.jp/data/dataset/cas_20180907_0002/resource/d733a0b3-bd4b-4e27-87d5-0814729a1a16,https://cio.go.jp/sites/default/files/uploads/documents/170310hiryo.docx,CC-BY,農業情報創成・流通促進戦略に係る個別ガイドライン,農業ITシステムで用いる登録肥料等に係るデータ項目に関する情報（暫定版）,農業ITシステムで用いる登録肥料等に係るデータ項目に関する情報の本文。,DOCX,2018-09-21T11:02:33.107556,agriculture and forestry;information_disclosure;ガイドライン;情報公開;農業_林業,情報通信・科学技術,内閣官房
https://www.data.go.jp/data/dataset/cas_20180907_0002/resource/3e42116e-1d74-4bc1-a1bb-6ea34abdd721,https://cio.go.jp/sites/default/files/uploads/documents/180417seisanrireki.docx,CC-BY,農業情報創成・流通促進戦略に係る個別ガイドライン,農業ITシステムで用いる生産履歴の記録方法に係る情報（暫定版）,農業ITシステムで用いる生産履歴の記録方法に係る情報の本文。,DOCX,2018-09-21T11:02:33.107570,agriculture and forestry;information_disclosure;ガイドライン;情報公開;農業_林業,情報通信・科学技術,内閣官房
https://www.data.go.jp/data/dataset/cas_20180907_0003/resource/11b72447-b101-4e8c-a3e6-957e0461f163,https://cio.go.jp/sites/default/files/uploads/documents/shiryo20.docx,CC-BY,農業ITサービス標準利用規約ガイド,農業ITサービス標準利用規約ガイド,農業ITサービス標準利用規約ガイドの本文。,DOCX,2018-09-21T11:02:39.698668,agriculture and forestry;information_disclosure;情報公開;農業_林業,情報通信・科学技術,内閣官房
