ckanurl,url,licence,title,res_title,description,format,created,tags,groups,organization
https://www.data.go.jp/data/dataset/maff_20140918_0073/resource/d403baf1-4fa8-44d8-8d08-a6879ea0c3e9,http://www.rinya.maff.go.jp/j/kikaku/hakusyo/21hakusyo_h/other/h_01.epub,政府標準利用規約（第 2.0 版）,森林・林業白書 平成21年度（平成22年4月27日公表）,はじめに_epub,はじめに,epub,2014-09-26T14:55:34.986301,4000012080002;agriculture and forestry;white_paper and annual_report;林業;白書_年次報告;白書_年次報告書等;農業_林業,農林水産業,農林水産省
https://www.data.go.jp/data/dataset/maff_20140918_0073/resource/d21a7778-04bd-4668-aa57-4d041fc1177b,http://www.rinya.maff.go.jp/j/kikaku/hakusyo/21hakusyo_h/other/h_02.epub,政府標準利用規約（第 2.0 版）,森林・林業白書 平成21年度（平成22年4月27日公表）,トピックス_epub1,トピックス,epub,2014-09-26T14:55:34.986307,4000012080002;agriculture and forestry;white_paper and annual_report;林業;白書_年次報告;白書_年次報告書等;農業_林業,農林水産業,農林水産省
https://www.data.go.jp/data/dataset/maff_20140918_0073/resource/16537afd-57fa-42ed-9f9a-77c928e4585a,http://www.rinya.maff.go.jp/j/kikaku/hakusyo/21hakusyo_h/other/h_03.epub,政府標準利用規約（第 2.0 版）,森林・林業白書 平成21年度（平成22年4月27日公表）,第I章 林業の再生に向けた生産性向上の取組_epub1,林業の再生に向けた生産性向上の取組,epub,2014-09-26T14:55:34.986314,4000012080002;agriculture and forestry;white_paper and annual_report;林業;白書_年次報告;白書_年次報告書等;農業_林業,農林水産業,農林水産省
https://www.data.go.jp/data/dataset/maff_20140918_0073/resource/8719686b-456b-4e1c-a462-5a568d82664b,http://www.rinya.maff.go.jp/j/kikaku/hakusyo/21hakusyo_h/other/h_04.epub,政府標準利用規約（第 2.0 版）,森林・林業白書 平成21年度（平成22年4月27日公表）,1 我が国の林業の課題_epub,我が国の林業の課題,epub,2014-09-26T14:55:34.986320,4000012080002;agriculture and forestry;white_paper and annual_report;林業;白書_年次報告;白書_年次報告書等;農業_林業,農林水産業,農林水産省
https://www.data.go.jp/data/dataset/maff_20140918_0073/resource/6255adba-135b-4c8b-8e74-c559f60f6ea0,http://www.rinya.maff.go.jp/j/kikaku/hakusyo/21hakusyo_h/other/h_05.epub,政府標準利用規約（第 2.0 版）,森林・林業白書 平成21年度（平成22年4月27日公表）,（1） 造林・保育_epub,造林・保育,epub,2014-09-26T14:55:34.986327,4000012080002;agriculture and forestry;white_paper and annual_report;林業;白書_年次報告;白書_年次報告書等;農業_林業,農林水産業,農林水産省
https://www.data.go.jp/data/dataset/maff_20140918_0073/resource/15b0bc0f-d5a3-480d-ae25-0278bcb327ad,http://www.rinya.maff.go.jp/j/kikaku/hakusyo/21hakusyo_h/other/h_06.epub,政府標準利用規約（第 2.0 版）,森林・林業白書 平成21年度（平成22年4月27日公表）, （2） 間伐_epub,間伐,epub,2014-09-26T14:55:34.986333,4000012080002;agriculture and forestry;white_paper and annual_report;林業;白書_年次報告;白書_年次報告書等;農業_林業,農林水産業,農林水産省
https://www.data.go.jp/data/dataset/maff_20140918_0073/resource/bbdd3626-9240-42b8-b3b2-5dfd4413a8fb,http://www.rinya.maff.go.jp/j/kikaku/hakusyo/21hakusyo_h/other/h_07.epub,政府標準利用規約（第 2.0 版）,森林・林業白書 平成21年度（平成22年4月27日公表）, （3） 素材生産_epub,素材生産,epub,2014-09-26T14:55:34.986340,4000012080002;agriculture and forestry;white_paper and annual_report;林業;白書_年次報告;白書_年次報告書等;農業_林業,農林水産業,農林水産省
https://www.data.go.jp/data/dataset/maff_20140918_0073/resource/336694cf-cc60-427f-9a11-e0afe7b15a17,http://www.rinya.maff.go.jp/j/kikaku/hakusyo/21hakusyo_h/other/h_08.epub,政府標準利用規約（第 2.0 版）,森林・林業白書 平成21年度（平成22年4月27日公表）, （4） 林内路網の整備_epub,林内路網の整備,epub,2014-09-26T14:55:34.986346,4000012080002;agriculture and forestry;white_paper and annual_report;林業;白書_年次報告;白書_年次報告書等;農業_林業,農林水産業,農林水産省
https://www.data.go.jp/data/dataset/maff_20140918_0073/resource/41b2e286-bbcb-4628-80f6-42694b318a37,http://www.rinya.maff.go.jp/j/kikaku/hakusyo/21hakusyo_h/other/h_09.epub,政府標準利用規約（第 2.0 版）,森林・林業白書 平成21年度（平成22年4月27日公表）,（1） 生産性向上に必要な条件整備_epub,生産性向上に必要な条件整備,epub,2014-09-26T14:55:34.986352,4000012080002;agriculture and forestry;white_paper and annual_report;林業;白書_年次報告;白書_年次報告書等;農業_林業,農林水産業,農林水産省
https://www.data.go.jp/data/dataset/maff_20140918_0073/resource/12f7c35d-5266-468f-afb9-1a1c94f7804d,http://www.rinya.maff.go.jp/j/kikaku/hakusyo/21hakusyo_h/other/h_10.epub,政府標準利用規約（第 2.0 版）,森林・林業白書 平成21年度（平成22年4月27日公表）,第II章 地球温暖化と森林_epub1,地球温暖化と森林,epub,2014-09-26T14:55:34.986359,4000012080002;agriculture and forestry;white_paper and annual_report;林業;白書_年次報告;白書_年次報告書等;農業_林業,農林水産業,農林水産省
