ckanurl,url,licence,title,res_title,description,format,created,tags,groups,organization
https://www.data.go.jp/data/dataset/maff_20140918_0000/resource/dccc5e97-be2d-427c-a798-b8a98752adc3,http://www.maff.go.jp/j/wpaper/w_maff/h23/onsei/other/all.mp3,政府標準利用規約（第 2.0 版）,平成23年度食料・農業・農村白書 （平成24年4月24日公表）,音声全文（約59分）,,mp3,2014-10-10T15:05:37.323842,5000012080001;agriculture and forestry;government_accountability and democracy;white_paper and annual_report;政府の説明責任と民主主義;白書_年次報告;白書_年次報告書等;農村;農業_林業;食料,農林水産業,農林水産省
https://www.data.go.jp/data/dataset/maff_20140918_0000/resource/fd812959-84fd-41da-9f7a-d73925e5f0b9,http://www.maff.go.jp/j/wpaper/w_maff/h23/onsei/other/01.mp3,政府標準利用規約（第 2.0 版）,平成23年度食料・農業・農村白書 （平成24年4月24日公表）,音声分割_タイトル,,mp3,2014-10-10T15:05:37.323848,5000012080001;agriculture and forestry;government_accountability and democracy;white_paper and annual_report;政府の説明責任と民主主義;白書_年次報告;白書_年次報告書等;農村;農業_林業;食料,農林水産業,農林水産省
https://www.data.go.jp/data/dataset/maff_20140918_0000/resource/f0c912b7-3a7b-447d-9161-f855875765b6,http://www.maff.go.jp/j/wpaper/w_maff/h23/onsei/other/02.mp3,政府標準利用規約（第 2.0 版）,平成23年度食料・農業・農村白書 （平成24年4月24日公表）,音声分割_特集東日本大震災からの復興1年_1,,mp3,2014-10-10T15:05:37.323855,5000012080001;agriculture and forestry;government_accountability and democracy;white_paper and annual_report;政府の説明責任と民主主義;白書_年次報告;白書_年次報告書等;農村;農業_林業;食料,農林水産業,農林水産省
https://www.data.go.jp/data/dataset/maff_20140918_0000/resource/d741e1df-40ca-4582-88cb-36f209fdd5e7,http://www.maff.go.jp/j/wpaper/w_maff/h23/onsei/other/03.mp3,政府標準利用規約（第 2.0 版）,平成23年度食料・農業・農村白書 （平成24年4月24日公表）,音声分割_特集東日本大震災からの復興1年_2,,mp3,2014-10-10T15:05:37.323861,5000012080001;agriculture and forestry;government_accountability and democracy;white_paper and annual_report;政府の説明責任と民主主義;白書_年次報告;白書_年次報告書等;農村;農業_林業;食料,農林水産業,農林水産省
https://www.data.go.jp/data/dataset/maff_20140918_0000/resource/cbdb6bba-3d11-4b13-adbb-1bb1b38a4848,http://www.maff.go.jp/j/wpaper/w_maff/h23/onsei/other/04.mp3,政府標準利用規約（第 2.0 版）,平成23年度食料・農業・農村白書 （平成24年4月24日公表）,音声分割_第1章食料自給率の向上,,mp3,2014-10-10T15:05:37.323868,5000012080001;agriculture and forestry;government_accountability and democracy;white_paper and annual_report;政府の説明責任と民主主義;白書_年次報告;白書_年次報告書等;農村;農業_林業;食料,農林水産業,農林水産省
https://www.data.go.jp/data/dataset/maff_20140918_0000/resource/46d0b50d-91cd-4b9f-bc96-ec5890dd653d,http://www.maff.go.jp/j/wpaper/w_maff/h23/onsei/other/05.mp3,政府標準利用規約（第 2.0 版）,平成23年度食料・農業・農村白書 （平成24年4月24日公表）,音声分割_第2章食料の安定供給の確保,,mp3,2014-10-10T15:05:37.323874,5000012080001;agriculture and forestry;government_accountability and democracy;white_paper and annual_report;政府の説明責任と民主主義;白書_年次報告;白書_年次報告書等;農村;農業_林業;食料,農林水産業,農林水産省
https://www.data.go.jp/data/dataset/maff_20140918_0000/resource/5376e422-4b18-40b9-a370-6a46905b427f,http://www.maff.go.jp/j/wpaper/w_maff/h23/onsei/other/06.mp3,政府標準利用規約（第 2.0 版）,平成23年度食料・農業・農村白書 （平成24年4月24日公表）,音声分割_第3章農業の持続的な発展_1,,mp3,2014-10-10T15:05:37.323881,5000012080001;agriculture and forestry;government_accountability and democracy;white_paper and annual_report;政府の説明責任と民主主義;白書_年次報告;白書_年次報告書等;農村;農業_林業;食料,農林水産業,農林水産省
https://www.data.go.jp/data/dataset/maff_20140918_0000/resource/26b24f46-58c0-441f-900f-4e288e681c72,http://www.maff.go.jp/j/wpaper/w_maff/h23/onsei/other/07.mp3,政府標準利用規約（第 2.0 版）,平成23年度食料・農業・農村白書 （平成24年4月24日公表）,音声分割_第3章農業の持続的な発展_2,,mp3,2014-10-10T15:05:37.323887,5000012080001;agriculture and forestry;government_accountability and democracy;white_paper and annual_report;政府の説明責任と民主主義;白書_年次報告;白書_年次報告書等;農村;農業_林業;食料,農林水産業,農林水産省
https://www.data.go.jp/data/dataset/maff_20140918_0000/resource/3d322d61-a915-4244-af1e-64a78febea4f,http://www.maff.go.jp/j/wpaper/w_maff/h23/onsei/other/08.mp3,政府標準利用規約（第 2.0 版）,平成23年度食料・農業・農村白書 （平成24年4月24日公表）,音声分割_第3章農業の持続的な発展_3,,mp3,2014-10-10T15:05:37.323894,5000012080001;agriculture and forestry;government_accountability and democracy;white_paper and annual_report;政府の説明責任と民主主義;白書_年次報告;白書_年次報告書等;農村;農業_林業;食料,農林水産業,農林水産省
https://www.data.go.jp/data/dataset/maff_20140918_0000/resource/358f33c0-3023-4d69-afb8-f3ee6e8787db,http://www.maff.go.jp/j/wpaper/w_maff/h23/onsei/other/09.mp3,政府標準利用規約（第 2.0 版）,平成23年度食料・農業・農村白書 （平成24年4月24日公表）,音声分割_第4章農村の振興・活性化,,mp3,2014-10-10T15:05:37.323900,5000012080001;agriculture and forestry;government_accountability and democracy;white_paper and annual_report;政府の説明責任と民主主義;白書_年次報告;白書_年次報告書等;農村;農業_林業;食料,農林水産業,農林水産省
https://www.data.go.jp/data/dataset/maff_20140918_0000/resource/3c5f934e-f9c8-4e30-895d-80ce44b5b435,http://www.maff.go.jp/j/wpaper/w_maff/h23/onsei/other/10.mp3,政府標準利用規約（第 2.0 版）,平成23年度食料・農業・農村白書 （平成24年4月24日公表）,音声分割_エンディング,,mp3,2014-10-10T15:05:37.323907,5000012080001;agriculture and forestry;government_accountability and democracy;white_paper and annual_report;政府の説明責任と民主主義;白書_年次報告;白書_年次報告書等;農村;農業_林業;食料,農林水産業,農林水産省
https://www.data.go.jp/data/dataset/maff_20140918_0002/resource/c5df805d-dd22-4805-98f1-d7ffea246742,http://www.maff.go.jp/j/wpaper/w_maff/h21/onsei/other/all.mp3,政府標準利用規約（第 2.0 版）,平成21年度食料・農業・農村白書 （平成22年6月11日公表）,全文（約54分）,,mp3,2014-09-26T14:52:23.128802,5000012080001;agriculture and forestry;government_accountability and democracy;white_paper and annual_report;政府の説明責任と民主主義;白書_年次報告;白書_年次報告書等;農村;農業_林業;食料,農林水産業,農林水産省
https://www.data.go.jp/data/dataset/maff_20140918_0002/resource/386bf43c-ac03-45bd-833d-3acab8f89669,http://www.maff.go.jp/j/wpaper/w_maff/h21/onsei/other/1-mokuji.mp3,政府標準利用規約（第 2.0 版）,平成21年度食料・農業・農村白書 （平成22年6月11日公表）,分割版_目次,,mp3,2014-09-26T14:52:23.128809,5000012080001;agriculture and forestry;government_accountability and democracy;white_paper and annual_report;政府の説明責任と民主主義;白書_年次報告;白書_年次報告書等;農村;農業_林業;食料,農林水産業,農林水産省
